,match,team,alliance,leave,"ground pick-up","center line pick-up","auto scoring","teleop scoring","stage level",spotlight,"stage time","brick time","defense time","driver skill","defense skill",speed,stability,"intake consistency",scouter,comments,accuracy,timestamp
0,1,1r,red,true,true,true,"[as, am, am]","[as, as, am, ss, ss, sa, ts, ts]",3,true,6200,2750,12550,4,3,2,1,0,"24kabirr (1072)","good robot",,1704669596253
1,10,1b,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"tanmay b (1038)","",,1704671391099
2,1,1r,red,true,true,false,"[as, as]","[as, as, sa, ss, as, ss, ss, ts, ts, as, sa, as, as]",2,true,3700,0,0,2,2,3,3,3,"guest (1072)","Internal Testing",,1704672592187
3,42,3r,red,true,true,true,"[as, as, am]","[]",3,true,2600,13900,0,3,2,2,3,3,"tanmay b (1038)","womp womp",,1704672971679
4,43,3r,red,true,true,true,"[]","[as, as, as, as, as, as, as, am, am, sm, sa, sa, sa, sa, ss, ss, ts, ts, ts]",3,false,0,0,0,4,0,2,4,4,"spicegears (5883)","",,1704915370725
5,44,1r,red,true,true,false,"[]","[]",3,true,0,23900,6100,3,2,4,4,4,"connor (4453)","",,1705002547899
6,45,1r,red,true,true,false,"[as, am, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, ss]","[as, as, as, as, am, sa, sa, sa, sa, sa, ts]",3,true,10750,7550,9050,0,0,0,0,0,"derof (4735)","a",,1705016939202
7,38,3r,red,true,true,true,"[ss, ss, ss, ss, sm]","[as, as, as, as, as, as, sa, sa, sa]",2,false,5900,0,0,0,0,0,0,0,"teis_joepman (4481)","",,1705418985197
8,46,1r,red,true,true,false,"[as, as, as, am]","[]",0,false,0,2600,0,0,0,0,0,0,"teisjoepman (4481)","",,1705518724140
9,47,1r,red,true,true,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"teisjoepman (4481)","",,1705519319298
10,48,1r,red,true,false,false,"[as, am, ss, ss]","[as, as, as, as, am, am, am, am, as, as, as, ss, ss, ss, sa, sa, ts]",3,false,12350,64850,16400,0,0,4,3,4,"anish:) (840)","THIS IS JUST A PRACTICE WITH MEMBERS\n- ability to score against defense: defense overpowered them\n-robot nearly toppled over\n- 3 tech fouls, 2 fouls\n84020\n-the human player kept missing the robot on the intake.",,1705624348166
11,49,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"rj (226)","",,1705706755060
12,50,1r,red,true,false,false,"[sm, as, ss, ss, ss]","[as, as, sa]",0,false,0,0,2300,4,4,2,2,4,"shortba (4143)","Test\n",,1705759503155
13,51,2r,red,true,true,false,"[as, am, as, as, ss, sm]","[as, as, am, ss, ts, ts, tm]",1,true,0,0,0,3,3,2,3,2,"john (578)","",,1705777416469
14,52,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"emily (122)","",,1706050471963
15,53,1b,blue,true,true,false,"[as, as, as, am, ss, ss]","[ts, tm]",0,false,0,0,0,3,0,4,0,4,"derof (4735)","",,1706142015902
16,54,1b,blue,true,true,true,"[as, as, am, am, am, ss, ss, sm, sm, sm, ss, ss, ss, sm]","[ts, ts, ts, tm, ss, ss, ss, sa, sa, sm, as, as, am]",2,true,15200,10400,0,4,1,0,3,2,"riley (6060)","Cool",,1706147872066
17,55,1r,red,true,true,true,"[am, am, am, am, am, am, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm]","[ts, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, sm, am, am, am, am, am, am]",1,false,2000,20300,0,0,2,4,0,1,"riley (6060)","",,1706148017237
18,56,2b,blue,true,true,true,"[am, as, as, am, am, as, am, sm, sm, sm, sm]","[ts]",3,true,3000,15250,0,2,2,1,4,3,"riley (6060)","",,1706148389126
19,57,2b,blue,false,false,false,"[as]","[sa]",1,false,0,0,0,2,0,1,3,3,"wayne (6060)","",,1706313674915
20,58,1r,red,true,false,true,"[am, am, as, as, ss, ss, ss, sm]","[]",2,true,2450,950,0,4,4,4,4,4,"blue 1 (303)","",,1706648488273
21,59,1r,red,true,true,false,"[am, as, as, as, ss, ss]","[am, am, as, as, ss, ss, ss, sa, sa, sa, tm, tm]",2,true,250,350,0,4,4,4,4,4,"blue 1 (303)","",,1706649007834
22,60,2b,blue,true,true,true,"[ss, ss, ss]","[as, sa, sa, sm, ss, ts]",2,false,12550,0,0,0,0,0,0,0,"matthew (2370)","",,1706723124411
23,55,2r,red,false,false,false,"[ss, ss, ss]","[am]",0,false,0,750,13100,3,0,0,0,0,"rwodonnell (2876)","",,1706748515224
24,61,1r,red,true,true,false,"[as, am, ss, sm, sm, sm, sm, as]","[as, as, as, as, as, as, as, as, as, as, as, as, as, as, am, am, am, ss, ss, ss, ss, ss, sa, sa, sa, sm, sm, sm, sm, ts]",3,true,0,7350,3300,4,4,4,4,4,"skynet_scouting_team (4416)","***** Test the robot is slow",,1706803384336
25,62,2r,red,true,true,true,"[as, as, am, ss, ss, ss, ss, ss, ss, ss, sm, sm]","[as, as, as, as, as, as, as, as, as, as, as, am, ss, ss, sa, sa, sm, ts, ts, tm]",3,true,3000,2700,3350,0,0,0,0,0,"coathanger (7660)","",,1706829279789
